PLAYER,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Tony Allen,10.5,11.0
Andre Roberson,10.0,8.0
Ian Mahinmi,10.0,5.0
Alec Burks,10.0,15.0
Nick Collison,10.0,12.0
Trevor Ariza,10.0,15.0
Greivis Vasquez,10.0,8.5
Donatas Motiejunas,9.0,3.0
Markieff Morris,9.0,18.0
Jerami Grant,9.0,3.0
Eric Bledsoe,9.0,30.5
Kyle Singler,9.0,6.0
Anthony Bennett,9.0,10.5
Kentavious Caldwell-Pope,9.0,10.0
Greg Monroe,9.0,7.0
Raymond Felton,9.0,6.5
J.J. Redick,9.0,1.0
Taurean Waller-Prince,8.5,9.0
Archie Goodwin,8.0,4.0
Channing Frye,8.0,4.0
Michael Beasley,8.0,5.0
Tiago Splitter,8.0,9.0
Jonas Jerebko,7.0,17.0
Jarnell Stokes,7.0,9.0
Georgios Papagiannis,7.0,3.0
Tomas Satoransky,7.0,8.5
Dwight Howard,7.0,1.0
Henry Ellenson,6.5,5.0
Tyreke Evans,6.0,9.0
Gary Harris,6.0,2.5
Shelvin Mack,6.0,3.0
Marcus Morris,6.0,23.0
Nikola Vucevic,5.5,35.5
Justin Anderson,5.0,10.0
Ivica Zubac,5.0,43.0
Beno Udrih,5.0,8.5
Andrew Nicholson,5.0,5.0
Troy Williams,5.0,9.0
Kevin Seraphin,4.5,8.0
Bobby Brown,4.0,1.0
Lamar Patterson,4.0,4.0
Darren Collison,4.0,7.0
Quincy Acy,4.0,4.0
Kyle Wiltjer,4.0,13.5
Anthony Brown,3.0,3.0
John Jenkins,3.0,1.0
C.J. Wilcox,3.0,3.0
Sasha Vujacic,3.0,1.0
Marcus Georges-Hunt,3.0,5.0
Patricio Garino,3.0,5.0
Tyler Johnson,3.0,6.0
Randy Foye,2.0,4.0
Tobias Harris,2.0,4.0
Courtney Lee,2.0,1.0
Rashad Vaughn,2.0,7.0
DeAndre Liggins,2.0,2.0
Jarell Martin,2.0,4.0
Mike Scott,2.0,1.0
Garrett Temple,2.0,1.0
Jerryd Bayless,2.0,5.0
Jason Terry,2.0,6.0
T.J. McConnell,2.0,1.0
Manny Harris,2.0,3.0
Terry Rozier,2.0,6.0
Alan Anderson,1.0,3.0
Malcolm Delaney,1.0,1.0
Justin Harper,1.0,1.0
Mike Tobey,1.0,0.0
Alan Williams,1.0,7.0
Aaron Brooks,1.0,3.0
Marcin Gortat,1.0,1.0
Marcus Smart,1.0,9.0
Will Barton,1.0,3.0
Jordan Crawford,1.0,5.0
C.J. Watson,1.0,3.0
Gerald Henderson,1.0,8.0
Marco Belinelli,0.0,15.0
Terrence Ross,0.0,0.0
Fred VanVleet,0.0,17.5
Semaj Christon,0.0,3.0
J.J. Barea,0.0,17.5
Thaddeus Young,0.0,1.5
Maurice Harkless,0.0,14.5
Kevon Looney,0.0,18.5
Jordan Mickey,0.0,3.0
Arinze Onuaku,0.0,1.0
DeMar DeRozan,0.0,186.0
Dion Waiters,0.0,7.0
John Wall,0.0,77.0
James Young,0.0,12.0
Andre Drummond,0.0,25.0
Jamal Murray,0.0,62.5
Marc Gasol,0.0,75.5
Nikola Jokic,0.0,1.0
Tim Quarterman,0.0,1.0
Tim Hardaway,0.0,0.0
Jrue Holiday,0.0,39.0
D'Angelo Russell,0.0,232.0
Karl-Anthony Towns,0.0,105.0
Gary Payton,0.0,18.0
E'Twaun Moore,0.0,10.0
Marquese Chriss,0.0,22.0
Dwight Powell,0.0,10.0
Stanley Johnson,0.0,19.0
Reggie Williams,0.0,0.0
Jaylen Brown,0.0,100.0
Michael Carter-Williams,0.0,5.0
David West,0.0,25.0
Dante Cunningham,0.0,3.0
Kyle O'Quinn,0.0,7.0
JaVale McGee,0.0,32.0
David Nwaba,0.0,3.0
Andrew Harrison,0.0,17.0
Domantas Sabonis,0.0,82.0
Jason Smith,0.0,23.0
Anthony Morrow,0.0,5.0
Joakim Noah,0.0,87.0
Brandan Wright,0.0,6.0
Jarrod Uthoff,0.0,0.0
Justin Hamilton,0.0,8.5
Adreian Payne,0.0,13.0
Jameer Nelson,0.0,9.0
Wade Baldwin,0.0,36.5
Derrick Jones,0.0,74.0
Dahntay Jones,0.0,99.5
J.R. Smith,0.0,43.0
Joe Harris,0.0,0.0
Tyus Jones,0.0,14.0
Danny Green,0.0,15.0
Willy Hernangomez,0.0,55.5
Caris LeVert,0.0,28.0
Malik Beasley,0.0,14.0
Vince Carter,0.0,7.0
Thon Maker,0.0,39.5
Spencer Dinwiddie,0.0,7.0
Willie Cauley-Stein,0.0,17.0
Dragan Bender,,
Omer Asik,,
Alonzo Gee,,
